batch_idx,batch_name,n_transactions,n_items,nonzeros_cumulative,true_topk_svals,fd_topk_svals,rgp_topk_svals,ipca_explained_variance,time_elapsed
0,2010-11-29/2010-12-05,402,3877,7387,"[21.41811129 15.72114554 14.28424326 11.75038567 11.55413079 11.25310872
 10.9409956  10.71581825 10.48186286 10.17815215  9.96179439  9.70209737
  9.56902118  9.40764906  9.30326599  9.16167913  9.06808453  8.92966841
  8.85381625  8.72015926]","[15.68188573 11.94781154  8.72432224  8.44637206  7.64091143  7.3565069
  7.14458178  6.83409863  6.65649784  6.19963449  5.96979676  5.81382968
  5.72364488  5.51376685  5.22767562  5.14871489  5.02780738  4.95019008
  4.7160823   4.54305184]","[33.91905417 25.82843286 24.55193502 24.16393728 22.03054916 21.38169759
 20.94712709 19.53899158 19.31716451 19.15865606 18.13218045 17.37661048
 17.09808462 16.79411047 16.11310936 15.41781632 15.23716466 13.76353924
 13.47361392]",0.3161664291736526,2.764561891555786
1,2010-12-06/2010-12-12,891,3877,16615,"[30.00910615 17.5250909  15.80087295 14.83029765 14.59384854 14.19016697
 13.79080919 13.40828259 13.24257439 12.9884819  12.66244101 12.36662874
 12.25304746 11.99155653 11.85166777 11.69451785 11.4617562  11.33975295
 11.23888707 11.07586521]","[18.57665473 11.18160939  9.88726752  9.19149365  8.01360063  7.58142555
  6.94024826  6.93214024  6.75929434  6.56131231  6.46849158  6.24295503
  5.9243584   5.88743026  5.58602657  5.49543054  5.29294901  5.10082519
  4.91068809  4.68783365]","[46.14610645 35.95364489 34.34823522 32.96632039 32.62280957 31.54772243
 31.01489441 29.96229683 29.32768203 28.51097534 27.81867761 27.3344341
 26.30265846 25.76310725 25.12761088 24.55032406 24.22854432 23.40015208
 22.74125924]",0.21384318837064265,6.566020488739014
2,2010-12-13/2010-12-19,1292,3877,23530,"[33.63668239 19.02998827 17.03429492 16.19465406 15.96864743 15.52811108
 15.01293551 14.66624544 14.30324444 14.15347765 13.91837767 13.39932799
 13.39372361 13.26117816 13.14159346 12.81284936 12.75793089 12.67472547
 12.36662649 12.16470819]","[19.16724561  8.80603774  7.55374069  6.63286668  6.31859518  6.13982098
  5.87684062  5.66598219  5.36121271  5.33366107  5.2741828   5.0773344
  4.82426883  4.71666289  4.392088    4.27312754  4.12732975  4.07661115
  3.91306402  3.79030256]","[51.4992332  41.22282332 40.36101969 39.22509173 37.36527008 36.89445204
 36.33024902 35.65383104 35.34541613 34.5191744  33.08168511 32.78712327
 31.46565142 31.41315019 30.31476997 29.84044759 28.63538252 28.17107755
 27.6510969 ]",0.17943924465303468,9.66036581993103
3,2010-12-20/2010-12-26,1400,3877,25289,"[34.49970046 19.45569475 17.51899327 16.52057391 16.25118876 16.00459317
 15.32782142 15.01611613 14.69833733 14.34938724 14.19640686 13.85497425
 13.66432977 13.50326632 13.34016815 13.07310204 13.06309056 12.98405051
 12.58567832 12.51678822]","[19.54324643  9.55278944  7.60702376  6.97809686  6.76956928  6.38081203
  6.05042273  5.57598471  5.50305437  5.1339496   5.02487215  4.39863305
  4.32970186  4.2531196   4.04329812  3.97465481  3.83856833  3.70427234
  3.57657283  3.41961402]","[53.01260359 42.98760415 41.60049459 40.51348013 38.48848871 38.35317115
 37.6450694  36.84048833 36.38436373 35.99434352 35.21163133 33.93209122
 32.87491994 32.4590278  31.36567696 31.25126606 29.58741143 29.17898927
 28.78268358]",0.1741793152292627,10.493176221847534
4,2011-01-03/2011-01-09,1624,3877,30441,"[37.37475918 21.00388309 19.77458277 17.75672252 17.54743182 16.91721671
 16.672875   16.30557627 15.69982685 15.07461545 14.82529657 14.59819993
 14.50557845 14.45936805 14.31247561 14.12655028 13.90512461 13.72295625
 13.5460302  13.36376237]","[21.58641519 11.23524226 10.34822332 10.01027372  8.08616869  6.86029999
  6.55025999  6.36848889  6.22085836  5.97608173  5.66861111  5.64403548
  5.45552063  5.22562643  5.13054335  4.96355955  4.85619247  4.76705935
  4.68223115  4.52195743]","[56.58966455 46.34768124 45.48991698 44.11315452 42.26452181 41.9704425
 40.93366302 40.33927888 39.67883034 39.30575711 38.60814186 37.1957945
 36.43548544 35.40134944 34.53194257 34.12672039 33.1737598  31.82201329
 31.66025647]",0.16553193885502276,12.139134883880615
5,2011-01-10/2011-01-16,1857,3877,35027,"[39.52423814 22.33079658 21.07452123 18.84003132 18.20250211 17.6750278
 17.52978631 17.06378956 16.35782999 16.05464997 15.51990857 15.27779478
 15.09579143 14.88302455 14.81226128 14.61984574 14.46421098 14.28818137
 14.21157851 13.9291509 ]","[22.22879069 10.24972276  9.26508377  8.22170579  7.5888442   7.40639676
  7.20329017  7.05883818  6.56160912  6.33385636  6.00085694  5.47396865
  5.3436291   5.04963553  4.73606865  4.66614912  4.58073609  4.35156075
  4.32467705  4.12257685]","[58.67881763 49.57255468 48.47098198 46.56092964 44.76833496 44.6908479
 44.02462446 43.06345667 42.22984677 41.69971408 40.87575266 39.96683209
 39.62260882 38.21620449 37.06732332 37.01896061 36.03118802 34.9598494
 34.385503  ]",0.15680790336425332,13.838563680648804
6,2011-01-17/2011-01-23,2063,3877,39600,"[41.81576792 23.65858077 22.1715588  20.10285504 19.15970093 18.43527727
 18.22368781 17.70333889 16.94520885 16.68898808 16.24911668 15.9967918
 15.88869254 15.50889911 15.32995743 15.24174772 15.00176677 14.79049128
 14.69440363 14.5220705 ]","[23.1963974  10.0137748   9.06604032  8.59304328  7.86874146  7.6441912
  6.76637073  6.63640207  6.27085119  6.15329576  6.08467419  5.29470145
  5.2193437   5.09487697  4.88894291  4.59809361  4.4553098   4.35530678
  4.19140885  4.13419221]","[60.84523409 52.84628217 50.72601039 49.89314816 47.96575752 47.19576189
 46.62389166 45.91302711 44.96542525 43.86816322 43.19380929 42.23463813
 41.8806541  40.69517952 40.18812055 39.46337751 38.99900163 37.44438696
 36.63728211]",0.1508626238091472,15.439731121063232
7,2011-01-24/2011-01-30,2330,3877,45064,"[44.37649226 25.16575267 23.34431285 21.46564446 19.99831697 19.50772996
 19.00095065 18.52069426 17.93452392 17.69649003 17.26489004 16.67254382
 16.659265   16.36891407 16.16278362 15.94393736 15.78204081 15.4359776
 15.26208083 15.10933777]","[23.74776124  9.48385985  8.54790996  7.47464073  7.08243127  6.99964715
  6.67913007  6.42966023  5.95843028  5.87629862  5.74372245  5.11529988
  4.9883543   4.82720703  4.58369314  4.34492939  4.09500154  3.88288294
  3.75253246  3.65610219]","[63.44490092 56.69903101 53.66353368 52.6198733  51.36318841 50.87030533
 50.73086138 49.09240037 47.79890733 46.54306546 46.14267333 45.06482371
 44.70035777 43.3995481  43.22896372 42.33286261 41.75893515 40.54990028
 39.47339999]",0.14556898837827284,17.74410629272461
8,2011-01-31/2011-02-06,2602,3877,50049,"[46.85602775 26.37520164 24.17000374 23.07356977 21.07066884 20.18334527
 19.69745056 19.33760852 18.63703039 18.3950043  18.19189285 17.47482612
 17.26156185 17.08895626 16.93793403 16.61772525 16.43577382 16.29564566
 15.95773252 15.66038142]","[24.56452082  7.61106911  7.08779623  6.80935871  6.30304063  5.95077638
  5.66320132  5.49699227  5.1147186   4.84157958  4.8120958   4.38186745
  4.18852696  4.08832104  3.99729257  3.86229252  3.75447352  3.61204484
  3.46998877  3.28250692]","[65.79404982 59.80193352 56.8154865  55.62480378 54.16354252 53.53530911
 52.88581567 51.02876586 50.08197806 49.22965298 48.63430397 47.82736993
 47.04128195 45.95270198 45.60650199 44.83787108 44.19913306 42.75941302
 41.68291457]",0.14276056986076388,20.368642568588257
9,2011-02-07/2011-02-13,2799,3877,53782,"[48.48235561 27.20815479 24.59148178 23.90615974 22.01194612 20.87698875
 20.19099188 19.93400024 19.22330727 18.8902135  18.70311457 18.16839551
 17.77560602 17.52792708 17.43156527 17.11508008 16.84069028 16.7358164
 16.244587   16.06836934]","[24.85368493  8.7450989   8.25722797  7.96242791  6.89567808  6.46876508
  6.29329179  6.00588056  5.47087817  5.15215021  4.86118193  4.81367968
  4.72260031  4.64501558  4.53215081  4.35281845  4.31676804  4.17187126
  4.05259513  4.02886248]","[67.29431992 62.19199634 58.8264186  57.23899127 55.96677455 55.81575568
 54.47231837 53.27622171 52.21677068 51.28882159 50.15969641 49.52285359
 48.81618459 47.63295603 47.56984894 46.65345346 46.3269477  44.01417059
 42.94346699]",0.14055770014387578,21.991156816482544
